task_id,priority,description,dependencies,current_status,implementation_evidence,ui_evidence,test_evidence,deployment_evidence,hardware_validation_requirement,external_blocker,next_action
VOLUME-07,P2,Storage QoS and IO limits,VOLUME-06,NOT STARTED,,,,,None identified,,Implement and prove: Apply provider/cgroup/native limits only where supported and show actual effective configuration.
VOLUME-08,P2,Replication targets and schedules,VOLUME-07,NOT STARTED,,,,,None identified,,"Implement and prove: Configure backend-aware remote replication, credentials, schedules, resumability, lag, and failure history."
VOLUME-09,P2,Replication telemetry,VOLUME-08,NOT STARTED,,,,,None identified,,"Implement and prove: Persist last success, lag, transferred bytes, destination state, recovery point, and honest unavailable values."
VOLUME-10,P2,Hot-spare and rolling replacement policies,VOLUME-09,NOT STARTED,,,,,None identified,,"Implement and prove: Model provider-native spares and maintenance replacement without conflating parity, replicas, or generic copies."
VOLUME-11,P2,Logical-storage UI and Activity,VOLUME-03;VOLUME-04,NOT STARTED,,,,,None identified,,"Implement and prove: Provide navigation, list/detail, wizard, capability matrix, history, loading/empty/error states, and durable operation progress."
VOLUME-12,P2,Disposable Linux integration,VOLUME-04;VOLUME-05;VOLUME-06;VOLUME-08;VOLUME-11,NOT STARTED,,,,,None identified,,"Implement and prove: Execute capability, creation, snapshot, restore, quota, LUN, and replication tests only against purpose-created virtual storage."
HA-01,P1,HA-1 controller/path redundancy traceability,,VERIFIED IN ISOLATION,VERIFIED IN ISOLATION — controller/path failover and identity preservation are covered by the existing multipath lifecycle evidence,,,,None identified,,Implement and prove: Preserve the existing proven multipath lifecycle as a separate maturity level.
HA-02,P1,HA-2 controlled ownership handoff,HA-01,VERIFIED IN ISOLATION,VERIFIED IN ISOLATION — two-node virtual workflow proved controlled handoff; persistent product settings and UI remain HA-03/HA-08 work,See roadmap acceptance evidence,,,None identified,,Implement and prove: Preserve and productize explicit single-writer storage ownership handoff between two nodes.
HA-03,P1,HA-3 persistent peer awareness,HA-02,NOT STARTED,,,,,None identified,,"Implement and prove: Persist local/peer identity, FQDN/IP presentation, reachability, role, current owner, readiness, synchronization, and history."
HA-04,P2,HA-4 replicated control-plane state,HA-03,NOT STARTED,,,,,None identified,,"Implement and prove: Replicate only defined control-plane state with schema/version checks, conflict handling, secret boundaries, and recovery proof."
HA-05,P2,HA-5 floating service endpoint,HA-03,NOT STARTED,,,,,None identified,,Implement and prove: Configure and verify a stable service IP/endpoint without changing application storage paths.
HA-06,P2,HA-6 automatic active/passive failover,HA-03;HA-04;HA-05;HA-07,NOT STARTED,,,,,None identified,,"Implement and prove: Detect failure, preserve single-writer ownership, transition services/storage, record cause/duration, and support configured failback."
HA-07,P2,HA-7 fencing and split-brain protection,HA-03,NOT STARTED,,,,,None identified,,Implement and prove: Require a tested fencing/quorum mechanism before automatic shared-storage ownership changes.
HA-08,P1,Advanced HA settings and status UI,HA-03,NOT STARTED,,,,,None identified,,"Implement and prove: Expose configured mode, nodes, addresses, roles, owner, readiness, endpoint, sync, failover/failback history, and only controls that affect runtime."
HA-09,P2,HA telemetry and graph annotations,HA-03;HA-08,NOT STARTED,,,,,None identified,,"Implement and prove: Persist serving node, storage availability, transition cause/duration, CPU/IO behavior, and recovery annotations."
HA-10,P2,Active/passive A/B fault-injection validation,HA-04;HA-05;HA-06;HA-07;HA-09;LAB-01;LAB-03,NOT STARTED,,,,,None identified,,"Implement and prove: Execute failure, restart, handoff, endpoint, fencing, integrity, and failback scenarios in the persistent virtual lab."
LAB-01,P1,Persistent Hoardarr-A and Hoardarr-B nodes,,IN PROGRESS,"IN PROGRESS — persistent 2-vCPU/2-GiB Hoardarr-A and Hoardarr-B VM shells with thin virtual OS disks now exist in the VMware `Hoardarr Development` folder on `Data Vlan 200`; protected physical SSDs are excluded. Corrected appliance installation, virtual data-disk attachment and beta exposure remain.",,,"IN PROGRESS — persistent 2-vCPU/2-GiB Hoardarr-A and Hoardarr-B VM shells with thin virtual OS disks now exist in the VMware `Hoardarr Development` folder on `Data Vlan 200`; protected physical SSDs are excluded. Corrected appliance installation, virtual data-disk attachment and beta exposure remain.",Matching physical provider/hardware execution,,Implement and prove: Maintain two owner-auditable Ubuntu 24.04/Python 3.12/systemd nodes separately from disposable CI.
LAB-02,P1,Protected physical-disk boundary,LAB-01,VERIFIED,VERIFIED — beta inventory is read-only and no saved plan has been applied,,,VERIFIED — beta inventory is read-only and no saved plan has been applied,None identified,,None; preserve with regression coverage
LAB-03,P1,Real virtual managed storage,LAB-01;LAB-02,NOT STARTED,,,,,None identified,,"Implement and prove: Create actual mergerFS/SnapRAID, ZFS, Linux MD, landing-tier, and shared multipath constructs through Hoardarr-supported paths."
LAB-04,P1,Visible beta/lab state,LAB-03,NOT STARTED,,,,,None identified,,"Implement and prove: Show real groups, pools, tiers, jobs, topology, graphs, peers, and failover history for owner inspection without frontend fixtures."
LAB-05,P1,Store-and-forward fleet validation,LAB-01;FLEET-17,NOT STARTED,,,,,None identified,,"Implement and prove: Demonstrate offline queue, reconnect, authenticated batch, acknowledgement, and deletion on both persistent nodes."
LAB-06,P1,Cross-system virtual-drive lifecycle,LAB-01;LAB-03;FLEET-07,NOT STARTED,,,,,None identified,,Implement and prove: Move one virtual stable drive identity from A to B and preserve pseudonymous lifecycle without claiming ownership transfer.
LAB-07,P2,Persistent lab rebuild and drift automation,LAB-06,NOT STARTED,,,,,None identified,,"Implement and prove: Document and automate safe recreation, snapshot, health, backup, and drift checks without treating the lab as CI."
LAB-08,P2,Persona and live-product QA,LAB-07,NOT STARTED,,,,,None identified,,Implement and prove: Run Guided/ARR/data-hoarder/storage-expert scenarios against real lab state and retain browser evidence.
ARCH-01,P1,Canonical extension-model ADR,,VERIFIED,"VERIFIED — `docs/development/architecture-reconciliation.md` defines one provider API v1 model: repository-built bounded providers remain in-process, typed storage mutation stays behind the executor, and signed third-party add-ons use isolated systemd services; the capabilities API, provider registry, add-on packaging and their tests implement that decision rather than a second plugin runtime.",,"VERIFIED — `docs/development/architecture-reconciliation.md` defines one provider API v1 model: repository-built bounded providers remain in-process, typed storage mutation stays behind the executor, and signed third-party add-ons use isolated systemd services; the capabilities API, provider registry, add-on packaging and their tests implement that decision rather than a second plugin runtime.",,None identified,,None; preserve with regression coverage
ARCH-02,P1,In-process provider boundary,,VERIFIED,"SOFTWARE VERIFIED — provider API v1 admits only repository-built bounded hardware, storage, and ARR/media adapters in-process; the hardware registry exposes API version, built-in trust, and execution model; storage mutation remains behind typed identity-revalidating executor operations; third-party code uses the existing signed systemd add-on boundary rather than dynamic in-process loading; the authenticated capabilities API exposes this contract and provider/API tests pass",,"SOFTWARE VERIFIED — provider API v1 admits only repository-built bounded hardware, storage, and ARR/media adapters in-process; the hardware registry exposes API version, built-in trust, and execution model; storage mutation remains behind typed identity-revalidating executor operations; third-party code uses the existing signed systemd add-on boundary rather than dynamic in-process loading; the authenticated capabilities API exposes this contract and provider/API tests pass",,None identified,,None; preserve with regression coverage
ARCH-03,P2,Isolated third-party extension boundary,,VERIFIED,"SOFTWARE VERIFIED — signed local add-on packages are schema/API/database/version/package/privilege checked, digest verified, traversal bounded and installed atomically; enabled third-party code runs in a dedicated DynamicUser systemd process with privilege-derived devices, paths, capabilities and hardening rather than loading into the API process; lifecycle and generated-unit behavior pass add-on/API/release tests",,"SOFTWARE VERIFIED — signed local add-on packages are schema/API/database/version/package/privilege checked, digest verified, traversal bounded and installed atomically; enabled third-party code runs in a dedicated DynamicUser systemd process with privilege-derived devices, paths, capabilities and hardening rather than loading into the API process; lifecycle and generated-unit behavior pass add-on/API/release tests",,None identified,,None; preserve with regression coverage
ARCH-04,P1,Systemd appliance deployment reconciliation,,VERIFIED,"SOFTWARE VERIFIED — the architecture decision, README, bootstrap/install/update documentation and packaging consistently make Ubuntu 24.04, Python 3.12, wheel/frontend release bundles, Alembic, systemd, atomic release switching and QEMU the production path; remaining container references describe ARR application paths or development only, not an alternative Hoardarr runtime; appliance/systemd/release workflows remain the executable evidence",,,,None identified,,None; preserve with regression coverage
ARCH-05,P2,HA capability traceability,,NOT STARTED,,,,,None identified,,"Implement and prove: Separate multipath failover, controlled ownership handoff, automatic node failover, fencing/quorum, and state replication."
ARCH-06,P3,Automatic HA/fencing/state replication,HA-03;HA-04;HA-05;HA-07,NOT STARTED,,,,,None identified,,Implement and prove: Implement only as a separately approved advanced roadmap capability; never infer it from controller failover tests.
VALID-01,P1,Lifecycle disposable-storage integration,,VERIFIED IN ISOLATION,"VERIFIED IN ISOLATION — Ubuntu run `32672472428` creates separate loop-backed ext4 source/destination filesystems and executes activation, preferred write, BLAKE3 drain, read-only transition, pause/resume, intentional worker interruption, stale-operation recovery, retirement and namespace reconciliation without changing the stable media namespace; evidence is retained by the `storage-group-drain-lifecycle` artifact",,"VERIFIED IN ISOLATION — Ubuntu run `32672472428` creates separate loop-backed ext4 source/destination filesystems and executes activation, preferred write, BLAKE3 drain, read-only transition, pause/resume, intentional worker interruption, stale-operation recovery, retirement and namespace reconciliation without changing the stable media namespace; evidence is retained by the `storage-group-drain-lifecycle` artifact",,None identified,,Implement and prove: Execute lifecycle and namespace tests on test-created Linux disks/filesystems.
VALID-02,P1,Drain interruption and fault injection,,VERIFIED IN ISOLATION,"VERIFIED IN ISOLATION — the Ubuntu loop lifecycle proves pause/resume and restart recovery; focused filesystem-backed worker tests prove destination-full preflight, source/destination disappearance, ARR/open-file conflicts, maintenance-window pause, checksum failure, bandwidth limiting and requeue semantics; no physical disk was mutated",,"VERIFIED IN ISOLATION — the Ubuntu loop lifecycle proves pause/resume and restart recovery; focused filesystem-backed worker tests prove destination-full preflight, source/destination disappearance, ARR/open-file conflicts, maintenance-window pause, checksum failure, bandwidth limiting and requeue semantics; no physical disk was mutated",,Matching physical provider/hardware execution,,"Implement and prove: Execute restart, full destination, device loss, ARR conflict, verification failure, and resume scenarios."
VALID-03,P2,Foreign/archive integration,,VERIFIED IN ISOLATION,"VERIFIED IN ISOLATION — Ubuntu run `32689415751` used purpose-created Linux loops to classify an ext4 Unraid data member and a no-filesystem parity member from stable assignment evidence without parity reuse, then mounted an independent ext4 archive source read-only, copied two files through the production durable migration worker, preserved relative paths, pause/resumed, recovered a stale worker/private mount, rejected a collision, matched source/destination SHA-256, retained the source and unmounted it after completion; artifact `storage-expansion-evidence` preserves the reports",,"VERIFIED IN ISOLATION — Ubuntu run `32689415751` used purpose-created Linux loops to classify an ext4 Unraid data member and a no-filesystem parity member from stable assignment evidence without parity reuse, then mounted an independent ext4 archive source read-only, copied two files through the production durable migration worker, preserved relative paths, pause/resumed, recovered a stale worker/private mount, rejected a collision, matched source/destination SHA-256, retained the source and unmounted it after completion; artifact `storage-expansion-evidence` preserves the reports",,None identified,,Implement and prove: Execute read-only foreign and Unraid-like fixtures plus archive copy/verification reports.
VALID-04,P2,Backup and automation integration,,VERIFIED IN ISOLATION,"VERIFIED IN ISOLATION — Ubuntu 24.04 CI completed live MinIO target proof, durable upload, full remote SHA-256 verification, download, safe extraction and SQLite restore validation; HA/metrics contracts pass, and the production webhook worker delivered to a disposable live TCP HTTP receiver with exact payload and HMAC verification. Commercial S3 endpoints remain provider certification, not a missing software path",,,,None identified,,Implement and prove: Execute S3 outage/resume/checksum/restore and HA/webhook/metrics contract tests.
VALID-05,P1,Topology fixture regression,,VERIFIED,"SOFTWARE VERIFIED — sanitized SAS2308/SAS3008 and DS424IOM6/DS224IOM6 fixtures exercise confirmed/inferred/unknown bay evidence, 3/6/12 Gb/s interpretation, PHY errors, path loss, enclosure disappearance and drift without embedding real identifiers; browser E2E asserts and screenshots the rendered chain. Matching physical-provider certification remains HW-16",See roadmap acceptance evidence,,,Matching physical provider/hardware execution,,None; preserve with regression coverage
VALID-06,P1,Two-pass release gates,,VERIFIED,"SOFTWARE VERIFIED — immutable commit `66246ac274479724cebc61297b595935fbc1e012` passed CI run `32718177066`: 542 backend, 162 frontend, 4 accessibility, 33 Chromium E2E, 74 bootstrap and 19 release tests plus Ruff, bounded telemetry soak, Linux sources, wheel/release/systemd, installed appliance and live MinIO. Storage run `32718177058` passed all four applicable isolated jobs. Archive digest `7e764ecb5af30dc9947df40b19f12839df5ea1cd7f134e9f5424e8820dd27536` was independently verified and deployed to the beta bench",,"SOFTWARE VERIFIED — immutable commit `66246ac274479724cebc61297b595935fbc1e012` passed CI run `32718177066`: 542 backend, 162 frontend, 4 accessibility, 33 Chromium E2E, 74 bootstrap and 19 release tests plus Ruff, bounded telemetry soak, Linux sources, wheel/release/systemd, installed appliance and live MinIO. Storage run `32718177058` passed all four applicable isolated jobs. Archive digest `7e764ecb5af30dc9947df40b19f12839df5ea1cd7f134e9f5424e8820dd27536` was independently verified and deployed to the beta bench","SOFTWARE VERIFIED — immutable commit `66246ac274479724cebc61297b595935fbc1e012` passed CI run `32718177066`: 542 backend, 162 frontend, 4 accessibility, 33 Chromium E2E, 74 bootstrap and 19 release tests plus Ruff, bounded telemetry soak, Linux sources, wheel/release/systemd, installed appliance and live MinIO. Storage run `32718177058` passed all four applicable isolated jobs. Archive digest `7e764ecb5af30dc9947df40b19f12839df5ea1cd7f134e9f5424e8820dd27536` was independently verified and deployed to the beta bench",None identified,,None; preserve with regression coverage
